sample.name,Species,Island,Phenotype,cohort,WGS.bioproject
03Dap16003,scandens,Daphne,pink,1990,PRJNA678752
03Dap16011,scandens,Daphne,pink,1990,PRJNA678752
03Dap16041,scandens,Daphne,yellow,1991,PRJNA678752
01Dap16044,fortis,Daphne,yellow,1990,PRJNA678752
03Dap16051,scandens,Daphne,pink,1991,PRJNA678752
01Dap16052,fortis,Daphne,yellow,1990,PRJNA678752
01Dap16066,fortis,Daphne,pink,1990,PRJNA678752
03Dap16070,scandens,Daphne,pink,1991,PRJNA678752
03Dap16073,scandens,Daphne,pink,1991,PRJNA678752
03Dap16076,scandens,Daphne,pink,1991,PRJNA678752
03Dap16077,scandens,Daphne,pink,1991,PRJNA678752
03Dap16079,scandens,Daphne,yellow,1991,PRJNA678752
03Dap16080,scandens,Daphne,pink,1991,PRJNA678752
03Dap16081,scandens,Daphne,pink,1991,PRJNA678752
01Dap16097,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16109,scandens,Daphne,pink,1991,PRJNA678752
03Dap16114,scandens,Daphne,pink,1991,PRJNA678752
01Dap16147,fortis,Daphne,pink,1991,PRJNA678752
01Dap16148,fortis,Daphne,pink,1991,PRJNA678752
01Dap16149,fortis,Daphne,pink,1991,PRJNA678752
01Dap16155,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16157,fortis,Daphne,pink,1991,PRJNA678752
01Dap16158,fortis,Daphne,pink,1991,PRJNA678752
01Dap16159,fortis,Daphne,pink,1991,PRJNA678752
01Dap16174,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16183,scandens,Daphne,yellow,1991,PRJNA678752
01Dap16189,fortis,Daphne,pink,1991,PRJNA678752
01Dap16191,fortis,Daphne,pink,1991,PRJNA678752
01Dap16199,fortis,Daphne,pink,1991,PRJNA678752
01Dap16304,fortis,Daphne,pink,1991,PRJNA678752
01Dap16305,fortis,Daphne,pink,1991,PRJNA678752
01Dap16335,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16340,fortis,Daphne,pink,1991,PRJNA678752
01Dap16346,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16354,fortis,Daphne,pink,1991,PRJNA678752
01Dap16355,fortis,Daphne,pink,1991,PRJNA678752
01Dap16356,fortis,Daphne,pink,1991,PRJNA678752
03Dap16358,scandens,Daphne,pink,1991,PRJNA678752
03Dap16359,scandens,Daphne,pink,1991,PRJNA678752
01Dap16369,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16370,scandens,Daphne,yellow,1991,PRJNA678752
01Dap16373,fortis,Daphne,pink,1991,PRJNA678752
01Dap16374,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16376,scandens,Daphne,pink,1991,PRJNA678752
01Dap16384,fortis,Daphne,pink,1991,PRJNA678752
03Dap16389,scandens,Daphne,yellow,1991,PRJNA678752
01Dap16395,fortis,Daphne,pink,1991,PRJNA678752
01Dap16397,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16506,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16515,fortis,Daphne,pink,1991,PRJNA678752
01Dap16518,fortis,Daphne,pink,1991,PRJNA678752
01Dap16531,fortis,Daphne,pink,1991,PRJNA678752
01Dap16546,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16547,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16548,fortis,Daphne,pink,1991,PRJNA678752
01Dap16549,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16556,scandens,Daphne,pink,1991,PRJNA678752
01Dap16557,fortis,Daphne,pink,1991,PRJNA678752
01Dap16558,fortis,Daphne,pink,1991,PRJNA678752
01Dap16559,fortis,Daphne,pink,1991,PRJNA678752
03Dap16584,scandens,Daphne,yellow,1991,PRJNA678752
03Dap16585,scandens,Daphne,yellow,1991,PRJNA678752
03Dap16586,scandens,Daphne,yellow,1991,PRJNA678752
03Dap16587,scandens,Daphne,yellow,1991,PRJNA678752
01Dap16594,fortis,Daphne,pink,1991,PRJNA678752
01Dap16596,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16600,scandens,Daphne,pink,1991,PRJNA678752
01Dap16804,fortis,Daphne,pink,1991,PRJNA678752
01Dap16805,fortis,Daphne,pink,1991,PRJNA678752
01Dap16815,fortis,Daphne,pink,1991,PRJNA678752
01Dap16839,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16840,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16841,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16844,fortis,Daphne,yellow,1991,PRJNA678752
03Dap16850,scandens,Daphne,yellow,1991,PRJNA678752
01Dap16851,fortis,Daphne,pink,1991,PRJNA678752
01Dap16857,fortis,Daphne,yellow,1991,PRJNA678752
01Dap16859,fortis,Daphne,pink,1991,PRJNA678752
01Dap16870,fortis,Daphne,pink,1991,PRJNA678752
03Dap17041,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17044,fortis,Daphne,pink,1991,PRJNA678752
01Dap17046,fortis,Daphne,pink,1991,PRJNA678752
01Dap17048,fortis,Daphne,pink,1991,PRJNA678752
01Dap17049,fortis,Daphne,pink,1991,PRJNA678752
03Dap17053,scandens,Daphne,pink,1991,PRJNA678752
03Dap17054,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17061,fortis,Daphne,pink,1991,PRJNA678752
01Dap17066,fortis,Daphne,pink,1991,PRJNA678752
01Dap17067,fortis,Daphne,pink,1991,PRJNA678752
01Dap17074,fortis,Daphne,pink,1991,PRJNA678752
01Dap17075,fortis,Daphne,pink,1991,PRJNA678752
01Dap17083,fortis,Daphne,pink,1991,PRJNA678752
01Dap17085,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17086,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17093,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17140,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17143,scandens,Daphne,pink,1991,PRJNA678752
01Dap17144,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17145,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17146,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17149,scandens,Daphne,pink,1991,PRJNA678752
03Dap17153,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17187,fortis,Daphne,pink,1991,PRJNA678752
01Dap17191,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17195,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17353,scandens,Daphne,pink,1991,PRJNA678752
03Dap17356,scandens,Daphne,pink,1991,PRJNA678752
01Dap17363,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17364,fortis,Daphne,pink,1991,PRJNA678752
03Dap17365,scandens,Daphne,pink,1991,PRJNA678752
03Dap17368,scandens,Daphne,pink,1991,PRJNA678752
03Dap17370,scandens,Daphne,pink,1991,PRJNA678752
03Dap17377,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17384,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17385,scandens,Daphne,pink,1991,PRJNA678752
01Dap17386,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17399,fortis,Daphne,pink,1992,PRJNA678752
01Dap17408,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17410,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17449,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17453,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17459,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17460,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17464,fortis,Daphne,pink,1991,PRJNA678752
01Dap17466,fortis,Daphne,pink,1991,PRJNA678752
01Dap17469,fortis,Daphne,pink,1991,PRJNA678752
03Dap17471,scandens,Daphne,pink,1991,PRJNA678752
03Dap17474,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17475,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17476,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17477,scandens,Daphne,pink,1991,PRJNA678752
03Dap17478,scandens,Daphne,pink,1991,PRJNA678752
01Dap17489,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17490,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17493,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17496,fortis,Daphne,pink,1991,PRJNA678752
01Dap17498,fortis,Daphne,pink,1991,PRJNA678752
03Dap17505,scandens,Daphne,pink,1991,PRJNA678752
03Dap17509,scandens,Daphne,pink,1991,PRJNA678752
01Dap17513,fortis,Daphne,pink,1991,PRJNA678752
01Dap17517,fortis,Daphne,pink,1991,PRJNA678752
01Dap17519,fortis,Daphne,pink,1991,PRJNA678752
01Dap17530,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17539,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17555,scandens,Daphne,,1991,PRJNA678752
01Dap17564,fortis,Daphne,pink,1991,PRJNA678752
01Dap17566,fortis,Daphne,pink,1991,PRJNA678752
01Dap17567,fortis,Daphne,pink,1991,PRJNA678752
03Dap17575,scandens,Daphne,,1991,PRJNA678752
01Dap17587,fortis,Daphne,pink,1991,PRJNA678752
03Dap17594,scandens,Daphne,pink,1992,PRJNA678752
01Dap17601,fortis,Daphne,pink,1991,PRJNA678752
01Dap17604,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17605,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17606,scandens,Daphne,pink,1991,PRJNA678752
03Dap17607,scandens,Daphne,pink,1991,PRJNA678752
01Dap17631,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17634,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17649,fortis,Daphne,pink,1991,PRJNA678752
03Dap17658,scandens,Daphne,pink,1991,PRJNA678752
01Dap17660,fortis,Daphne,pink,1991,PRJNA678752
01Dap17661,fortis,Daphne,pink,1991,PRJNA678752
01Dap17666,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17667,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17669,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17674,scandens,Daphne,pink,1991,PRJNA678752
01Dap17676,fortis,Daphne,pink,1991,PRJNA678752
01Dap17677,fortis,Daphne,pink,1991,PRJNA678752
01Dap17678,fortis,Daphne,pink,1991,PRJNA678752
01Dap17680,fortis,Daphne,pink,1991,PRJNA678752
03Dap17684,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17697,fortis,Daphne,pink,1991,PRJNA678752
01Dap17698,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17708,fortis,Daphne,pink,1991,PRJNA678752
01Dap17709,fortis,Daphne,pink,1991,PRJNA678752
01Dap17713,fortis,Daphne,pink,1991,PRJNA678752
01Dap17714,fortis,Daphne,pink,1991,PRJNA678752
01Dap17715,fortis,Daphne,pink,1991,PRJNA678752
01Dap17717,fortis,Daphne,pink,1991,PRJNA678752
01Dap17718,fortis,Daphne,pink,1991,PRJNA678752
01Dap17734,fortis,Daphne,pink,1991,PRJNA678752
01Dap17747,fortis,Daphne,pink,1991,PRJNA678752
01Dap17748,fortis,Daphne,pink,1991,PRJNA678752
01Dap17756,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17761,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17763,scandens,Daphne,yellow,1991,PRJNA678752
03Dap17764,scandens,Daphne,yellow,1991,PRJNA678752
01Dap17781,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17784,fortis,Daphne,pink,1991,PRJNA678752
01Dap17785,fortis,Daphne,pink,1991,PRJNA678752
01Dap17789,fortis,Daphne,pink,1991,PRJNA678752
01Dap17793,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17831,fortis,Daphne,pink,1998,PRJNA678752
03Dap17844,scandens,Daphne,pink,1992,PRJNA678752
01Dap17849,fortis,Daphne,yellow,1992,PRJNA678752
03Dap17851,scandens,Daphne,pink,1998,PRJNA678752
03Dap17856,scandens,Daphne,yellow,1998,PRJNA678752
03Dap17860,scandens,Daphne,yellow,1998,PRJNA678752
01Dap17877,fortis,Daphne,yellow,1992,PRJNA678752
01Dap17898,fortis,Daphne,yellow,1992,PRJNA678752
